False;"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D"
False;is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!
False;@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds
False;my whole body feels itchy and like its on fire 
False;@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. 
False;@Kwesidei not the whole crew 
False;Need a hug 
False;@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?
False;@Tatiana_K nope they didn't have it 
False;@twittera que me muera ? 
False;spring break in plain city... it's snowing 
False;I just re-pierced my ears 
False;@caregiving I couldn't bear to watch it.  And I thought the UA loss was embarrassing . . . . .
False;@octolinz16 It it counts, idk why I did either. you never talk to me anymore 
False;@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.
False;@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!
False;Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?
False;about to file taxes 
False;@LettyA ahh ive always wanted to see rent  love the soundtrack!!
False;@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? 
False;@alydesigns i was out most of the day so didn't get much done 
False;one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* 
False;@angry_barista I baked you a cake but I ated it 
False;this week is not going as i had hoped 
False;blagh class at 8 tomorrow 
False;I hate when I have to call and wake people up 
False;Just going to cry myself to sleep after watching Marley and Me.  
False;im sad now  Miss.Lilly
False;ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again 
False;Meh... Almost Lover is the exception... this track gets me depressed every time. 
False;some1 hacked my account on aim  now i have to make a new one
False;@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though
False;thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! 
False;@julieebaby awe i love you too!!!! 1 am here  i miss you
False;@HumpNinja I cry my asian eyes to sleep at night 
False;ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now 
False;@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...
False;@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge
False;@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. 
False;Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend 
False;really don't feel like getting up today... but got to study to for tomorrows practical exam... 
False;He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart 
False;Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!
False;@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it 
False;Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.
False;@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... 
False;Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?
False;Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it 
False;is strangely sad about LiLo and SamRo breaking up. 
False;@tea oh! i'm so sorry  i didn't think about that before retweeting.
False;Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are 
False;@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. 
False;our duck and chicken are taking wayyy too long to hatch 
False;Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. 
False;I need a hug 
False;@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! 
False;@oanhLove I hate when that happens... 
False;I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm
False;Ugh....92 degrees tomorrow 
False;Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
False;@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?
False;just leaving the parking lot of work! 
False;The Life is cool. But not for Me. 
False;Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. 
False;I had such a nice day. Too bad the rain comes in tomorrow at 5am 
False;@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
False;Damm back to school tomorrow 
False;Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?
False;@katortiz  Not forever... See you soon!
False;@Lt_Algonquin agreed, I saw the failwhale allllll day today. 
False;@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
False;@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
False;i really hate how people diss my bands!  Trace is clearly NOT ugly!
False;Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.
False;Why won't you show my location?!   http://twitpic.com/2y2es
False;No picnic  my phone smells like citrus.
